Patient_Profile,average,average,average,average,average,compromised,compromised,compromised,compromised,compromised,elderly,elderly,elderly,elderly,elderly,young,young,young,young,young
Protocol,adaptive,continuous,hyperthermia,immuno_combo,standard,adaptive,continuous,hyperthermia,immuno_combo,standard,adaptive,continuous,hyperthermia,immuno_combo,standard,adaptive,continuous,hyperthermia,immuno_combo,standard
Parameter,,,,,,,,,,,,,,,,,,,,
hill_coef,0.28417808141183615,0.391638993268787,0.06899277107456585,0.10658993566068505,0.06423811879636432,0.19050622990030955,0.1645825045132529,0.05593167256381757,0.24064725710100848,0.05954262581239679,0.2432903667085238,0.05825682264744317,0.10026628556632533,0.03256851705549907,0.0581219856728774,0.09733228340676604,0.07636136588891226,0.05206595951413852,0.08846528950078449,0.11450992495044218
hypoxia_threshold,0.08400039759623924,0.18613400104357536,0.09880738417132207,0.07819279759120096,0.04645463555533816,0.2526388594499316,0.07580615773950287,0.09175810981320899,0.09166486861563529,0.03847519632871527,0.17207932325224815,0.1001642011553876,0.07646946938371643,0.06910413384308606,0.08634176610515809,0.09552882437307593,0.033889080222379006,0.1255596885894924,0.07261225511204208,0.07384011996259365
immune_resist_factor1,0.06683080511093942,0.10837448516042968,0.12198122806791797,0.08505510650929111,0.062312240594326496,0.1810896112389148,0.37438228867753726,0.0778326585436309,0.04773740398288483,0.0784139640578194,0.3119023220807102,0.0568652739676105,0.04976511369310234,0.028992374551092107,0.10975535574654857,0.13978905615810489,0.13011675763684857,0.14794660968898957,0.10247179286554033,0.07008008053618628
immune_resist_factor2,0.019322626954410324,0.07920857612163862,0.11372268281580977,0.0706757144332098,0.11581671496644065,0.16018192146860508,0.12315568024304749,0.029963809987886572,0.05849416340119672,0.07095535741750422,0.2645934160052213,0.1490495387305454,0.05498959034331178,0.10087339847996461,0.10662679392000544,0.14976668020736697,0.13446150001681595,0.16511815080922462,0.20766200099020587,0.055007531986137254
immune_status,0.0912919972708477,0.21896836162062822,0.044165957053477124,0.0399896758004242,0.0744510415792219,0.07470605147828216,0.15169241218499785,0.17367488886283564,0.0807368103330252,0.08883965244501006,0.09595305551414625,0.09674071682963956,0.06140748216718555,0.04149431081424932,0.09905148612790013,0.29693436107662763,0.2044666212175308,0.13588177857469716,0.07637729892774694,0.1776769435906682
immuno_resist_boost,0.2146890760562255,0.29834281199359197,0.17225610389455645,0.06823474735759642,0.08541358184041078,0.16489311667739678,0.27507178163672,0.11532184440295734,0.035068706055658455,0.0776257398588906,0.38695109837045855,0.10862436729943903,0.03745431993260841,0.05447606972404736,0.11982532444331616,0.34096573660061336,0.19699438050198625,0.08101045658490008,0.08636426783018405,0.12145773716409922
kappa_Q,0.179818131705392,0.10600254839211279,0.03777750329320878,0.111827789510172,0.08502783027529048,0.2505694243696747,0.12833617324417024,0.06985472783043613,0.0763960001914445,0.17153951923129193,0.2370378419243474,0.23344724525426402,0.07330101210539168,0.2447619972382408,0.04922668727716581,0.11893392963673724,0.11290930579481218,0.15537257480953748,0.11331110472222503,0.15000259660706772
kappa_S,0.15152191316519176,0.14983571996135736,0.10147986607791414,0.06745531209817363,0.19307538452900116,0.13543706328230648,0.14783032451545824,0.09627626641333939,0.07783692516814222,0.09311236904593265,0.1255676483084383,0.08655190076279143,0.1133188828168435,0.10416090067344377,0.08842977891668392,0.0941728422046084,0.17700668493523772,0.10637036407521229,0.10349385545293152,0.07361550082186137
kidney_function,0.23933564450108735,0.14750620736044862,0.058736827747537274,0.06902308405785733,0.08036098742995915,0.38983685421100256,0.11191954852132491,0.07422570838129824,0.1045558252829696,0.07014375155381139,0.25502370768582283,0.1852126316240645,0.08359390085501696,0.1771868614681362,0.15354693107392361,0.3191726354672369,0.23368233898167765,0.11642996501074282,0.05392132801063519,0.06921444196221181
lambda1,0.1494862600228303,0.17873015510553253,0.15282587623709407,0.0826975636903424,0.06687857477275916,0.18362427664085962,0.04130307810172014,0.09989584019957412,0.1041339788197451,0.06574687418267623,0.40238820106234546,0.14216903028101704,0.05025932725922776,0.11956861037359366,0.0334713089178632,0.20512934954443723,0.08522321342905406,0.13650640914703957,0.1568443154167965,0.11185620251397875
